Title,Name of Software Company,,GCU Contact,Date Submitted,Date of Launch,Date of Renewal
BlackMagic Video Desktop,Dartfish,,,8/6/19,8/6/19,8/6/19
Blender 2.8,Blender Foundation,,,1/13/20,1/13/20,1/13/20
Bloomberg Terminal,,,,4/25/22,11/29/22,
Blue Ocean Brain,The Rowing Team LLC,2123.33,,5/22/20,5/22/20,5/22/20
BlueBeam,,,,5/20/21,11/29/22,
BobCAD-CAM,Bobcam,,,8/6/19,8/6/19,8/6/19
Box,,,,8/6/19,11/29/22,
BP Unity,Unity,,,1/14/21,1/14/21,1/14/21
BPO Deem,DEEM Inc.,47508,,1/12/21,1/12/21,1/12/21
BPO Levementum Project,Levementum LLC,98228,,1/6/21,1/6/21,1/6/21
Brand Management,Frontify,,,11/30/20,11/30/20,11/30/20
BrightAuthor Connected,Bright Sign,,,5/7/20,5/7/20,5/7/20
Brother Scanners/Printers (Common UDR Install),"Brother Industries, Ltd",,,8/6/19,8/6/19,8/6/19
BrowserStack,BrowserStack Inc,,Sandy Dantzer,3/27/20,3/27/20,3/27/20
C2G AV Controller Manager,,,,3/9/21,11/29/22,
CA Technologies,"CA, INC",17080,,4/9/20,4/9/20,4/9/20
CAC Reader,MIlitary CAC,0,,12/11/19,12/11/19,12/11/19
CAE Extended,CAE Healthcare Inc,48000,,8/12/20,8/12/20,8/12/20
Calabrio,,,,1/10/20,1/1/20,1/1/20
CalDigit TS3 Plus Driver,,,,4/20/20,11/29/22,
Calendly,Calendly LLC,1752.3,,12/7/20,12/7/20,12/7/20
Calendly,Calendly LLC,,,6/14/18,6/14/18,6/14/18
Calibre,,,,4/8/21,11/29/22,
CamBam CNC,HexRay Ltd,,,8/6/19,8/6/19,8/6/19
CampusKit,Involvio LLC,17500,Camillia Bonasera,11/12/20,11/12/20,11/12/20
CampusManagement,Anthology Inc,37500,,1/3/20,1/3/20,1/3/20
CampusNexus,Anthology Inc,2073348.99,,1/5/21,1/5/21,1/5/21
CampusVue,Anthology Inc,5000,,1/11/20,1/1/20,1/1/20
CampusVue Pro,Anthology Inc,37500,,9/1/20,9/1/20,9/1/20
CamStudio,,,,8/6/19,11/29/22,
Camtasia Studio,TechSmith,,,8/6/19,8/6/19,8/6/19
Canvas,Instructure Inc,142120,,10/6/20,10/6/20,10/6/20
Capsure,Capsure Co,,,8/6/19,8/6/19,8/6/19
Capsure,,,,8/6/19,11/29/22,
Capsure,,,,3/13/18,11/29/22,
Capture One,Phase One,,,11/13/20,11/13/20,11/13/20
CCH Access,CCH Incorportated,,,7/11/19,7/11/19,7/11/19
CCH Fixed Assets,CCH Incorporated,1438.95,,1/11/21,1/11/21,1/11/21
Ccleaner,,,,8/6/19,11/29/22,
CCPS Fee,Nursing Consortium of South Florida Inc,,,1/9/21,1/9/21,1/9/21
CDXZipStream,CDX Tech,,,9/24/15,9/24/15,9/24/15
Centercode,Centercode Inc,21600,,3/2/20,3/2/20,3/2/20
CFASync (Go to college fairs Scanner),,,,8/6/19,11/29/22,
C-Free Compiler,,,,11/25/19,11/29/22,
Charms Subscription,Dorian Business Systems Inc.,,,8/30/19,8/30/19,8/30/19
Chat Beacon,,,,6/19/19,11/29/22,
Check-in Beacos,SDK,,,1/7/21,1/7/21,1/7/21
CheckPoint,Eplus Technology Inc,4348.83,,10/9/19,10/9/19,10/9/19
CheqRoom,CheqRoom,4412,Vanessa Jones,8/10/20,8/10/20,8/10/20
Chi-Tester Exam Delivery,Chi-Squared Software Inc,21760,,12/14/20,12/14/20,12/14/20
CIRT,,,,1/12/20,1/1/20,1/1/20
Cisco CAD,"Cisco Systems, Inc",,,1/13/20,1/1/20,1/1/20
Cisco IP Communicator SoftPhone,"Cisco Systems, Inc",,,1/14/20,1/1/20,1/1/20
Cisco Jabber,,,,8/6/19,11/29/22,
Cisco Toolkit,"Cisco Systems, Inc",,,1/15/20,1/1/20,1/1/20
CITI Program,BRANY,,Jeri Burns,1/4/21,1/4/21,1/4/21
Citrix Director,Citrix Systems,,,1/16/20,1/1/20,1/1/20
Citrix Workspace,Citrix Systems,,,1/17/20,1/1/20,1/1/20
Clairvoyant,Clairvoyant LLC,4320000,,11/16/20,11/16/20,11/16/20
Cleanfeed LLP,Cleanfeed LLP,,,12/10/20,12/10/20,12/10/20
Click To Dial,InGenius Software Inc.,,,1/19/21,1/19/21,1/19/21
Client Analytics Portal (CAP),,,,8/6/19,11/29/22,
CLion,,,,1/9/20,11/29/22,
Cloud,Softlayer Technologies Inc,,,11/5/20,11/5/20,11/5/20
Cloud Storage/File Sharing,Box Inc,,,12/17/20,12/17/20,12/17/20
Cloudinary,Cloudinary Inc,,,12/7/20,12/7/20,12/7/20
Club Sports DocuSign,"Docusign, Inc",,Mari Mondragon,6/12/20,6/12/20,6/12/20
Cockpit ,,,,2/23/21,11/29/22,
CollegeSource,College Source Inc,21967,,3/23/20,3/23/20,3/23/20
Concur,"Concur Technologies, Inc.",53231.83,,12/9/20,12/9/20,12/9/20
Concur,"Concur Technologies, Inc.",,,7/22/20,7/22/20,7/22/20
Concur,"Concur Technologies, Inc.",,,1/18/20,1/1/20,1/1/20
Configuration Manager (SCCM),,,,1/19/20,1/1/20,1/1/20
Contact Tracing,Estimote,,,10/17/19,10/17/19,10/17/19
ConTEXT Editor,,,,8/6/19,8/6/19,8/6/19
Core FTP,,,,5/21/21,11/29/22,
Coupa,"Coupa Software, Inc",9045.75,Jarrod Simmons,11/12/20,11/12/20,11/12/20
Coupa,"Coupa Software, Inc",943.56,Ryan Brown,8/27/20,8/27/20,8/27/20
Coupa,"Coupa Software, Inc",,,1/20/20,1/1/20,1/1/20
Creately,Creately,59.4,,1/16/21,1/16/21,1/16/21
CreateStudio,,,,4/25/22,11/29/22,
Creative Suite Products,Adobe,,,1/1/21,1/1/21,1/1/21
Crestron Airmedia,,,,3/3/22,11/29/22,
Cricut,,,,1/6/21,11/29/22,
CRM,Microsoft Dynamics,3000,,11/6/19,11/6/19,11/6/19
CRM,,,,1/21/20,1/1/20,1/1/20
CrowdStrike,Optiv Security Inc,52458,,1/27/20,1/27/20,1/27/20
CS Gold,,,,8/6/19,8/6/19,8/6/19
CTLQ,,,,8/6/19,8/6/19,8/6/19
CUTE FTP,Software One Inc,,,10/12/20,10/12/20,10/12/20
Cutting Master 3,,,,7/19/17,7/19/17,7/19/17
CyberDuck,,,,11/17/20,11/17/20,11/17/20
Cygwin Compiler for CLion,,,,1/15/20,1/15/20,1/15/20
Cygwin Compiler for CLion,,,,1/14/21,11/29/22,
Cyrun,Alliance Software Maintenance & Support Inv.,15750,,9/17/19,9/17/19,9/17/19
Dartfish,Dartfish USA,,,1/13/20,1/13/20,1/13/20
DartFish,Dartfish USA,,,8/6/19,8/6/19,8/6/19
