Title,"Cost Total","GCU Contact","Date Submitted","Name of Software Company","Date of Launch","Date of Renewal"
"Bitvise SSH Client",,,8/6/19,"Bitvise Limited",8/6/19,8/6/19
BitWarden,,,11/3/21,,11/29/22,
"Black Magic",,,8/6/19,Dartfish,8/6/19,8/6/19
"BlackBerry Messenger",,,8/6/19,,11/29/22,
"BlackBerry Protect + Optics",84000,,6/25/20,"Cylance Inc",6/25/20,6/25/20
Blackboard,4821.69,,2/3/20,"Blackboard Inc",2/3/20,2/3/20
"BlackMagic Video Desktop",,,8/6/19,Dartfish,8/6/19,8/6/19
"Blender 2.8",,,1/13/20,"Blender Foundation",1/13/20,1/13/20
"Bloomberg Terminal",,,4/25/22,,11/29/22,
"Blue Ocean Brain",2123.33,,5/22/20,"The Rowing Team LLC",5/22/20,5/22/20
BlueBeam,,,5/20/21,,11/29/22,
BobCAD-CAM,,,8/6/19,Bobcam,8/6/19,8/6/19
Box,,,8/6/19,,11/29/22,
"BP Unity",400,,1/14/21,Unity,1/14/21,1/14/21
"BPO Deem",47508,,1/12/21,"DEEM Inc.",1/12/21,1/12/21
"BPO Levementum Project",98228,,1/6/21,"Levementum LLC",1/6/21,1/6/21
"Brand Management",,,11/30/20,Frontify,11/30/20,11/30/20
"BrightAuthor Connected",,,5/7/20,"Bright Sign",5/7/20,5/7/20
"Brother Scanners/Printers (Common UDR Install)",,,8/6/19,"Brother Industries, Ltd",8/6/19,8/6/19
BrowserStack,2388,"Sandy Dantzer",3/27/20,"BrowserStack Inc",3/27/20,3/27/20
"C2G AV Controller Manager",,,3/9/21,,11/29/22,
"CA Technologies",17080,,4/9/20,"CA, INC",4/9/20,4/9/20
"CAC Reader",,,12/11/19,"MIlitary CAC",12/11/19,12/11/19
"CAE Extended",48000,,8/12/20,"CAE Healthcare Inc",8/12/20,8/12/20
Calabrio,,,1/10/20,,1/1/20,1/1/20
"CalDigit TS3 Plus Driver",,,4/20/20,,11/29/22,
Calendly,1752.3,,12/7/20,"Calendly LLC",12/7/20,12/7/20
Calendly,,,6/14/18,"Calendly LLC",6/14/18,6/14/18
Calibre,,,4/8/21,,11/29/22,
"CamBam CNC",,,8/6/19,"HexRay Ltd",8/6/19,8/6/19
CampusKit,17500,"Camillia Bonasera",11/12/20,"Involvio LLC",11/12/20,11/12/20
CampusManagement,37500,,1/3/20,"Anthology Inc",1/3/20,1/3/20
CampusNexus,2073348.99,,1/5/21,"Anthology Inc",1/5/21,1/5/21
CampusVue,5000,,1/11/20,"Anthology Inc",1/1/20,1/1/20
"CampusVue Pro",37500,,9/1/20,"Anthology Inc",9/1/20,9/1/20
CamStudio,,,8/6/19,,11/29/22,
"Camtasia Studio",,,8/6/19,TechSmith,8/6/19,8/6/19
Canvas,142120,,10/6/20,"Instructure Inc",10/6/20,10/6/20
Capsure,,,8/6/19,"Capsure Co",8/6/19,8/6/19
Capsure,,,8/6/19,,11/29/22,
Capsure,,,3/13/18,,11/29/22,
"Capture One",,,11/13/20,"Phase One",11/13/20,11/13/20
"CCH Access",,,7/11/19,"CCH Incorportated",7/11/19,7/11/19
"CCH Fixed Assets",1438.95,,1/11/21,"CCH Incorporated",1/11/21,1/11/21
Ccleaner,,,8/6/19,,11/29/22,
"CCPS Fee",1200,,1/9/21,"Nursing Consortium of South Florida Inc",1/9/21,1/9/21
CDXZipStream,,,9/24/15,"CDX Tech",9/24/15,9/24/15
Centercode,21600,,3/2/20,"Centercode Inc",3/2/20,3/2/20
"CFASync (Go to college fairs Scanner)",,,8/6/19,,11/29/22,
"C-Free Compiler",,,11/25/19,,11/29/22,
"Charms Subscription",349,,8/30/19,"Dorian Business Systems Inc.",8/30/19,8/30/19
"Chat Beacon",,,6/19/19,,11/29/22,
"Check-in Beacos",,,1/7/21,SDK,1/7/21,1/7/21
CheckPoint,4348.83,,10/9/19,"Eplus Technology Inc",10/9/19,10/9/19
CheqRoom,4412,"Vanessa Jones",8/10/20,CheqRoom,8/10/20,8/10/20
"Chi-Tester Exam Delivery",21760,,12/14/20,"Chi-Squared Software Inc",12/14/20,12/14/20
CIRT,,,1/12/20,,1/1/20,1/1/20
"Cisco CAD",,,1/13/20,"Cisco Systems, Inc",1/1/20,1/1/20
"Cisco IP Communicator SoftPhone",,,1/14/20,"Cisco Systems, Inc",1/1/20,1/1/20
"Cisco Jabber",,,8/6/19,,11/29/22,
"Cisco Toolkit",,,1/15/20,"Cisco Systems, Inc",1/1/20,1/1/20
"CITI Program",4000,"Jeri Burns",1/4/21,BRANY,1/4/21,1/4/21
"Citrix Director",,,1/16/20,"Citrix Systems",1/1/20,1/1/20
"Citrix Workspace",,,1/17/20,"Citrix Systems",1/1/20,1/1/20
Clairvoyant,4320000,,11/16/20,"Clairvoyant LLC",11/16/20,11/16/20
"Cleanfeed LLP",,,12/10/20,"Cleanfeed LLP",12/10/20,12/10/20
"Click To Dial",800,,1/19/21,"InGenius Software Inc.",1/19/21,1/19/21
"Client Analytics Portal (CAP)",,,8/6/19,,11/29/22,
CLion,,,1/9/20,,11/29/22,
Cloud,,,11/5/20,"Softlayer Technologies Inc",11/5/20,11/5/20
"Cloud Storage/File Sharing",,,12/17/20,"Box Inc",12/17/20,12/17/20
Cloudinary,66,,12/7/20,"Cloudinary Inc",12/7/20,12/7/20
"Club Sports DocuSign",5040,"Mari Mondragon",6/12/20,"Docusign, Inc",6/12/20,6/12/20
"Cockpit ",,,2/23/21,,11/29/22,
CollegeSource,21967,,3/23/20,"College Source Inc",3/23/20,3/23/20
Concur,53231.83,,12/9/20,"Concur Technologies, Inc.",12/9/20,12/9/20
Concur,1500,,7/22/20,"Concur Technologies, Inc.",7/22/20,7/22/20
Concur,,,1/18/20,"Concur Technologies, Inc.",1/1/20,1/1/20
"Configuration Manager (SCCM)",,,1/19/20,,1/1/20,1/1/20
